,job_position,job_id,company_name,job_location,job_posting_date,skill,senority_level,employment_type,job_function,industry
0,Data Analyst,4137595788,KPMG India,"Pune, Maharashtra, India",2025-01-28,"['python', 'SQL', 'R', 'AWS', 'Azure', 'Machine Learning', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Databricks', 'Cloud Computing', 'Automation', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,"Analyst, Consulting, and Business Development","Business Consulting and Services, Technology, Information and Media, and IT Services and IT Consulting"
1,Data Analyst,4137596877,KPMG India,"Pune, Maharashtra, India",2025-01-28,"['python', 'SQL', 'R', 'AWS', 'Azure', 'Machine Learning', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Databricks', 'Cloud Computing', 'Scripting', 'Automation', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,"Analyst, Business Development, and Consulting","IT Services and IT Consulting, Technology, Information and Media, and Business Consulting and Services"
2,Python Developer,4144642605,Infosys,"Pune, Maharashtra, India",2025-02-05,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'MongoDB', 'PostgreSQL', 'Flask', 'Docker', 'AWS', 'Bash', 'Git', 'Machine Learning', 'Data Science', 'RESTful APIs', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Unit Testing']",Associate,Full-time,Information Technology,IT Services and IT Consulting
3,Business Analyst- Market Risk,4107829917,Deloitte,"Mumbai, Maharashtra, India",2025-01-21,"['python', 'Automation', 'Agile Methodology', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Other,Business Consulting and Services
4,Software Engineer,4127165623,Microsoft,"Maharashtra, India",2025-02-12,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'SQL', 'Node.js', 'React', 'AWS', 'Azure', 'PowerShell', 'Git', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Agile Methodology']",Not Applicable,Full-time,Engineering and Information Technology,Software Development
5,Business Analyst Market Risk,4114485024,KPMG India,"Mumbai, Maharashtra, India",2025-01-31,"['python', 'SQL', 'R', 'Power BI']",Mid-Senior level,Full-time,"Finance, Accounting/Auditing, and Consulting","Investment Banking, Financial Services, and Banking"
6,Python Developer,4150983385,Infosys,"Pune, Maharashtra, India",2025-02-12,"['python', 'Django', 'HTML', 'CSS', 'SQL', 'AWS', 'Bash', 'Machine Learning', 'Data Science', 'Frontend Development', 'Full Stack Development']",Associate,Full-time,Information Technology,IT Services and IT Consulting
7,Python Developer,4150113418,Infosys,"Pune, Maharashtra, India",2025-02-12,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'MongoDB', 'Docker', 'Bash', 'Machine Learning', 'Frontend Development', 'Full Stack Development', 'DevOps']",Associate,Full-time,Information Technology,IT Services and IT Consulting
8,Software Engineer,4134882904,Capgemini,"Pune, Maharashtra, India",2025-01-27,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'SQL', 'Node.js', 'AWS', 'Git', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Mid-Senior level,Full-time,Information Technology,Telecommunications and IT Services and IT Consulting
9,Data Analyst,4134544254,EaseMyTrip.com,"Mumbai, Maharashtra, India",2025-01-25,"['python', 'SQL', 'MongoDB', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Data Analysis', 'Power BI']",Associate,Full-time,Engineering and Information Technology,Travel Arrangements
10,Python Developer,4143826016,Deutsche Bank,"Pune, Maharashtra, India",2025-01-10,"['python', 'java', 'Django', 'HTML', 'SQL', 'MongoDB', 'React', 'Docker', 'AWS', 'Machine Learning', 'Scikit-Learn', 'Data Science', 'Big Data', 'Spark', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Automation', 'Competitive Programming']",Not Applicable,Full-time,Engineering and Information Technology,Financial Services
11,Python,4141171204,Virtusa,"Pune, Maharashtra, India",2025-02-03,"['python', 'Backend Development', 'Full Stack Development']",Associate,Full-time,Other,IT Services and IT Consulting
12,Full Stack Developer,4117168692,Easebuzz,"Pune, Maharashtra, India",2025-01-08,"['python', 'java', 'Django', 'JavaScript', 'SQL', 'MongoDB', 'Flask', 'Node.js', 'Angular', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Unit Testing']",Entry level,Full-time,Engineering and Information Technology,Software Development
13,Business Analyst,4148244638,Purplle.com,Mumbai Metropolitan Region,2025-02-10,"['python', 'SQL', 'Data Science', 'Data Analysis']",Associate,Full-time,"Analyst, Information Technology, and Product Management","Technology, Information and Internet, Personal Care Product Manufacturing, and Manufacturing"
14,Software Engineer,4099774805,Microsoft,"Maharashtra, India",2025-02-11,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'SQL', 'Node.js', 'React', 'AWS', 'Azure', 'PowerShell', 'Git', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Android Development', 'Agile Methodology']",Not Applicable,Full-time,Engineering and Information Technology,Software Development
15,Business Analyst,4134990404,Kotak Life,"Mumbai, Maharashtra, India",2025-01-26,"['python', 'SQL', 'Automation', 'Data Analysis']",Entry level,Full-time,Information Technology,Insurance
16,SQL Developer,4144169151,Easebuzz,"Pune, Maharashtra, India",2025-02-07,"['python', 'JavaScript', 'HTML', 'SQL', 'Git', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Automation', 'Data Analysis', 'Power BI']",Entry level,Full-time,Information Technology,Software Development
